class_type,title,alt_labels,description,skill_type,source
Skill,Adobe Illustrator,Adobe Illustrator CS6;Adobe Illustrator CS4;Adobe Illustrator CS5;Adobe Illustrator CS3;Adobe Illustrator CC,The computer program Adobe Illustrator CC is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,knowledge,ESCO
Skill,Adobe Photoshop,Adobe Photoshop CC;Adobe Photoshop CS5;Adobe Photoshop CS6;Adobe Photoshop Elements;Adobe Photoshop CS3;Adobe Photoshop CS4,The computer program Adobe Photoshop is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,knowledge,ESCO
Skill,Adobe Photoshop Lightroom,,The computer program Adobe Photoshop Lightroom is a graphical ICT tool which enables digital editing and composition of graphics to generate both 2D raster or 2D vector graphics. It is developed by the software company Adobe.,knowledge,ESCO
Skill,Adobe Photoshop[1],,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,Adobe Substance Painter,,Paint and procedural texturing,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660032
Skill,Adventure Game Studio,,Game Engine aimed at Adventure games,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660034
Skill,advertising techniques,advertising approaches;techniques of advertising;advertising methods;an advertising techniques;advertising skills;advertising technique;advertising performance,"The communication strategies intended to persuade or encourage an audience, and the different media which are used to achieve this goal.",knowledge,ESCO
Skill,Aegisub,,Subtitling,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660035
Skill,A-Frame,,Web framework for building VR experiences,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660031
Skill,Agile development,,The agile development model is a methodology to design software systems and applications.,knowledge,ESCO
Skill,Agile project management,,"The agile project management approach is a methodology for planning, managing and overseeing of ICT resources in order to meet specific goals and using project management ICT tools.",knowledge,ESCO
Skill,Aircrack (penetration testing tool),,"The computer program Aircrack is a cracking program which recovers 802.11 WEP and WPA-PSK keys by making several network attacks such as FMS, KoreK and PTW attacks.",knowledge,ESCO
Skill,Airtable,,Flexible spreadsheet and database,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660036
Skill,AJAX,Asynchronous Javascript and XML,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in AJAX.",knowledge,ESCO
Skill,Ajax Animator,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,Akeytsu,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
