class_type,title,alt_labels,description,skill_type,source
Skill,data models,,"The techniques and existing systems used for structuring data elements and showing relationships between them, as well as methods for interpreting the data structures and relationships.",knowledge,ESCO
Skill,data protection,principles of data privacy;paradigms of data privacy;protection of data;data privacy;principles of data protection;protection of private information;paradigms of data protection;protection of private data;principles of information privacy;information privacy,"The principles, ethical issues, regulations and protocols of data protection.",knowledge,ESCO
Skill,data quality assessment,analyse data quality;data quality analysis,"The process of revealing data issues using ?quality indicators, measures and metrics in order to plan data cleansing and data enrichment strategies according to data quality criteria.",knowledge,ESCO
Skill,data storage,,"The physical and technical concepts of how digital data storage is organised in specific schemes both locally, such as hard-drives and random-access memories (RAM) and remotely, via network, internet or cloud.",knowledge,ESCO
Skill,data warehouse,,The data storage system that analyses and reports on data such as a data mart.,knowledge,ESCO
Skill,database,types of databases,"The classification of databases, that includes their purpose, characteristics, terminology, models and use such as XML databases, document-oriented databases and full text databases.",knowledge,ESCO
Skill,database development tools,,"The methodologies and tools used for creating logical and physical structure of databases, such as logical data structures, diagrams, modelling methodologies and entity-relationships.",knowledge,ESCO
Skill,database management systems,DBMS;DB engines;SQL;database systems,"The tools for creating, updating and managing databases, such as Oracle, MySQL and Microsoft SQL Server.",knowledge,ESCO
Skill,Daz Studio,,3D animation and Mocap,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660083
Skill,DB2,"DB2 Connect;DB2 for Linux, UNIX and Windows;DB2 database software;IBM DB2 database software;DB2 for z/OS;DB2 on Cloud;DB2 for i;IBM DB2","The computer program IBM DB2 is a tool for creating, updating and managing databases, developed by the software company IBM.",knowledge,ESCO
Skill,DCP-o-matic,,DCP Creation,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660084
Skill,debug software,,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults.",skill,ESCO
Skill,decision support systems,decision support matrix;decision-making tools;decision support software,The ICT systems that can be used to support business or organisational decision making.,knowledge,ESCO
Skill,define creative components,specify creative components;determine creative components;defining creative components;outline creative components,Identify sources of inspiration and strong points. Identify the subject of the art production. Identify the content. Identify creative factors such as performers and music.,skill,ESCO
Skill,define data quality criteria,,"Specify the criteria by which data quality is measured for business purposes, such as inconsistencies, incompleteness, usability for purpose and accuracy.",skill,ESCO
Skill,define database physical structure,define database physical storage structure,"Specify the physical configuration of database files on a given media. This consists of in-detail specifications of indexing options, data types and data elements placed in the data dictionary.",skill,ESCO
Skill,define firewall rules,,Specify rules to govern a set of components aiming to limit access between groups of networks or a particular network and the internet.,skill,ESCO
Skill,define ICT network design policies,,"Specify policies, principles, rules, processes and criteria for the design, planning and realisation of ICT networks.",skill,ESCO
Skill,define integration strategy,,"Specify strategies for system integration, incorporating the time schedule, the processes required to combine components into subsystems and systems, the means on how components will interface as well as the risks associated with the integration.",skill,ESCO
Skill,define security policies,,"Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints.",skill,ESCO
Skill,define software architecture,define application architecture;define programme architecture,"Create and document the structure of software products including components, coupling and interfaces. Ensure feasibility, functionality and compatibility with existing platforms.",skill,ESCO
Skill,define technical requirements,write technical specifications;gather technical requirements,"Specify technical properties of goods, materials, methods, processes, services, systems, software and functionalities by identifying and responding to the particular needs that are to be satisfied according to customer requirements.",skill,ESCO
Skill,deliver business research proposals,deliver business research proposal;deliver business research propositions;provide business research proposals;delivering business research proposals;deliver proposals for business research;furnish business research proposals,Compile information aimed at impacting positively the bottom line of companies. Investigate and present finding of high relevance for the decision-making process.,skill,ESCO
Skill,deliver visual presentation of data,create data visualisation;visualise data,Create visual representations of data such as charts or diagrams for easier understanding.,skill,ESCO
Skill,demonstrate functionality of video games,establish functionality of video games;determine functionality of video games;show functionality of video games;demonstrate the functionality of video games;demonstrating functionality of video games;demonstrate functionality of a video game;display functionality of video games,Demonstrate to customers the features and functionalities of video games.,skill,ESCO
Skill,demonstrate games,demonstrating games;explain game rules;explain and show how the game evolves,Explain and demonstrate games and game rules to new players/visitors.,skill,ESCO
Skill,Depthkit,,Volumetric Filmmaking,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660085
Skill,design application interfaces,design API,"Create and program application interfaces, their operations, inputs and outputs and underlying types.",skill,ESCO
Skill,design component interfaces,design and implement component interfaces,Use methods and tools to design and program interfaces of software and system components.,skill,ESCO
Skill,design computer network,,"Develop and plan ICT networks, such as wide area network and local area network, that connect computers using cable or wireless connections and allow them to exchange data and assess their capacity requirements.",skill,ESCO
Skill,design database backup specifications,,Specify procedures to be performed on databases which ensure the copying and archiving of data for possible restoration in case of a data loss event.,skill,ESCO
Skill,design database scheme,,"Draft a database scheme by following the Relational Database Management System (RDBMS) rules in order to create a logically arranged group of objects such as tables, columns and processes.",skill,ESCO
Skill,design enterprise architecture,,"Analyse the business structure and provide a logical organisation of business processes and information infrastructure. Apply principles and practices which help organisations to realise their strategies, respond to disruptions and achieve their goals.",skill,ESCO
Skill,design failover solutions,,Create and manage a system of backup or standby solution which is automatically triggered and becomes active in case the main system or application fails.,skill,ESCO
Skill,design graphics,,Apply a variety of visual techniques in order to design graphic material. Combine graphical elements to communicate concepts and ideas.,skill,ESCO
Skill,design ICT hardware placement,,Describe and plan how cables and related hardware items will be placed throughout the building.,skill,ESCO
Skill,design information system,design ICT system,"Define the architecture, composition, components, modules, interfaces and data for integrated information systems (hardware, software and network), based on system requirements and specifications.",skill,ESCO
Skill,design lighting,design lighting;designing lighting;create lighting;set up lighting;choose lighting,"Design the right atmosphere and an aesthetically appealing film with light. Give instructions on which equipment, settings, and cues should be used.",skill,ESCO
Skill,design pharmaceutical manufacturing systems,pharmaceutical manufacturing systems design;pharmaceutical production systems designing;designing pharmaceutical manufacturing systems;pharmaceutical manufacturing systems designing;pharmaceutical production systems design;designing pharmaceutical production systems,Design production control systems which involve all processes from pharmaceutical production process to pharmaceutical stocks with the purpose of providing the correct input for the development of pharmaceutica manufacturing plant software packages.,skill,ESCO
Skill,design scale models,develop scale models;plan scale models;designing scale models;arrange scale models;design a scale model;scale model planning,Design imitations of products such as vehicles or buildings which accurately represent the dimensions of the product in a smaller format.,skill,ESCO
Skill,design user interface,,"Create software or device components which enable interaction between humans and systems or machines, using appropriate techniques, languages and tools so as to streamline interaction while using the system or machine.",skill,ESCO
Skill,DesignSpark Mechanical,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,desktop publishing,DTP,The creation of documents using page layout skills on a computer. Desktop publishing software can generate layouts and produce typographic quality text and images.,knowledge,ESCO
Skill,develop animations,develop animated models;develop an animation;design graphics and animation;design animations;developing animations,"Design and develop visual animations using creativity and computer skills. Make objects or characters appear lifelike by manipulating light, colour, texture, shadow, and transparency, or manipulating static images to give the illusion of motion.",skill,ESCO
Skill,develop audit plan,,"Define all organisational tasks (time, place and order) and develop a checklist concerning the topics to be audited.",skill,ESCO
Skill,develop automated migration methods,,"Create automated transfer of ICT information between storage types, formats and systems to save human resources from performing the task manually.",skill,ESCO
Skill,develop automated software tests,build automated software tests;generate automated software tests;design automated software tests,"Create software test sets in an automated manner, ?using specialised languages or tools, that can be performed by testing tools in order to save resources, gain efficiency and effectiveness in test execution.",skill,ESCO
Skill,develop code exploits,,Create and test software exploits in a controlled environment to uncover and check system bugs or vulnerabilities.,skill,ESCO
Skill,develop contingency plans for emergencies,create emergency contingency plans;produce emergency action plans;compose contingency plans for emergencies;develop contingency plans for use in emergencies;outline actions to be taken in the event of an emergency;produce plans for procedures to be taken in an emergency;develop emergency contingency plans;produce action plans for emergency situations;create contingency plans for emergencies;outline procedures to taken in the event of an emergency;compose emergency contingency plans,"Compose procedures outlining specific actions to be taken in the event of an emergency, taking into account all the risks and dangers that could be involved, ensuring that the plans comply with safety legislation and represent the safest course of action.",skill,ESCO
Skill,develop data processing applications,,Create a customised software for processing data by selecting and using the appropriate computer programming language in order for an ICT system to produce demanded output based on expected input.,skill,ESCO
Skill,develop digital content,,"Create and edit digital content in different formats, express oneself through digital means.",skill,ESCO
Skill,develop documentation in accordance with legal requirements,comply documentation with standards,"Create professionally written content describing products, applications, components, functions or services in compliance with legal requirements and internal or external standards.",skill,ESCO
Skill,develop financial statistics reports,developing financial statistics reports;launch financial statistics reports;evaluate financial statistics reports;develop financial statistical reports;establish financial statistics reports;produce financial statistics reports;develop a financial statistics report,Create financial and statistical reports based on collected data which are to be presented to managing bodies of an organisation.,skill,ESCO
Skill,develop geological databases,geological database development;creating of geological databases;creation of geological databases;creating geological databases;create geological databases;geological database creation;developing geological databases;development of geological databases;developing of geological databases,Develop geological databases in order to acquire and organise information.,skill,ESCO
Skill,develop ICT device driver,,Create a software program that controls the working of an ICT device and its interaction with other applications.,skill,ESCO
Skill,develop ICT safety information,present safety information;present safety information and warning messages,"Create warning messages such as dialog boxes, in-place message, notification or balloon that alerts the user of a condition that might cause a problem in the future and provide safety information according to standards under usage of international signal words.",skill,ESCO
Skill,develop ICT test suite,design software testing,Create a series of test cases to check software behaviour versus specifications. These test cases are then to be used during subsequent testing.,skill,ESCO
Skill,develop ICT workflow,,"Create repeatable patterns of ICT activity within an organisation which enhances the systematic transformations of products, informational processes and services through their production.",skill,ESCO
Skill,develop information security strategy,,"Create company strategy related to the safety and security of information in order to maximise information integrity, availability and data privacy.",skill,ESCO
Skill,develop media strategy,,"Create the strategy on the type of content to be delivered to the target groups and which media to be used, taking into account the characteristics of the target audience and the media that will be used for content delivery.",skill,ESCO
Skill,develop mine rehabilitation plan,mine rehabilitation plan development;development of mine rehabilitation plan;developing mining site restoration plan;developing restoration plan for mining site;development of restoration plan for mining site;develop mining site restoration plan;developing mine rehabilitation plan;developing of mine rehabilitation plan,Develop a mine rehabilitation plan during or after the mine closing process.,skill,ESCO
Skill,develop online community plan,,"Create the community's plan to grow the online community, build usage, retain recent users and increase the user's participation.",skill,ESCO
Skill,develop product design,develop a product design;evaluate product design;produce product design;develop product designs;launch product design;developing product designs;establish product design,Convert market requirements into product design and development.,skill,ESCO
Skill,develop production line,production line developing;develop production line;production process developing;developing production process;developing production line;develop production process,Develop the production line of a designed product. This corresponds to a sequence of mechanical or manual operations involved within a production process of a manufactured product.,skill,ESCO
Skill,develop software prototype,develop software throw-away simulation;develop software mockup,Create a first incomplete or preliminary version of a piece of software application to simulate some specific aspects of the final product.,skill,ESCO
Skill,develop terminology databases,populate terminology databases;compile terminology databases;define terminology databases prepare terminology databases;write terminology databases;developing terminology database;developing terminology databases;draw up terminology databases;develop terminology database,Collect and submit terms after verifying their legitimacy in order to build up terminology databases on an array of domains.,skill,ESCO
Skill,develop work plans to solve problems,undertake planning activities to achieve specific goals;plan activities to accomplish specific goals;develop plans to solve problems;develop work plans to resolve issues;develop work plans to tackle problems;plan activities to overcome obstacles;create plans to solve problems;plan activities to solve problems;create work plans to solve problems;produce work plans to solve problems,"Ability to develop specific goals and plans to prioritise, organise, and accomplish work.",skill,ESCO
Skill,DevOps,,The DevOps development approach is a methodology to design software systems and applications focused on the collaboration and between software programmers and other ICT professionals and automation.,knowledge,ESCO
Skill,DigiCel FlipBook,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,DigiKam,,Photo Management,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660086
Skill,digital compositing,,"The process and software for digitally assembling multiple images to make one, final image.",knowledge,ESCO
Skill,digital game creation systems,3D engine;game engine;videogame engine;game middleware;video game engine,"The integrated development environments and specialised design tools, designed for the rapid iteration of user-derived computer games.",knowledge,ESCO
Skill,digital game genres,mechanics of digital games,"The classification of video games based on their interaction with the game media, such as simulation games, strategy games, adventure games and arcade games.",knowledge,ESCO
Skill,digitise documents,scan documents,"Load analog documents by converting them into a digital format, using specialised hardware and software.",skill,ESCO
Skill,direct an artistic team,directing artistic team;head artistic team;supervise artistic team;lead artistic team;direct artistic teams,Lead and instruct a complete team with the required cultural expertise and experience.,skill,ESCO
Skill,Discord,,All-in-one voice and text chat,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660087
Skill,disseminate internal communications,disseminate internal communication;disseminating internal communications;circulate internal communications;distribute internal communications;disseminate communications internally,Disseminate internal communications using the different communication channels that a company has at its disposal.,skill,ESCO
Skill,distributed computing,,the software process in which computer components interact over a network and send messages to communicate on their actions.,knowledge,ESCO
Skill,DJV Imaging,,"Media review software for VFX, animation, and film production",knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660088
Skill,do historical research,perform historical research;conduct historical research;do history research;doing historical research;read up historical facts,Use scientific methods to research history and culture.,skill,ESCO
Skill,draw blueprints,draw a detailed outline;draw technical specifications;draw a blueprint;create blueprints;draft blueprints;prepare technical specifications;develop blueprints;formulate blueprints,"Draw layout specifications for machinery, equipment and building structures. Specify which materials should be used and the size of the components. Show different angles and views of the product.",skill,ESCO
Skill,draw up artistic project proposals,compose artistic project proposals;write artistic project proposals;draw up proposals for artistic projects;draw up artistic project proposal;create artistic project proposals;drawing up artistic project proposals,"Write project proposals for art facilities, artist residencies and galleries.",skill,ESCO
Skill,DrawPlus,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,DuIK,,2D rigging plugin for After Effects,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660089
Skill,Eclipse,,Development platform,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660090
Skill,Eclipse (integrated development environment software),Eclipse IDE,"The computer program Eclipse is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the Eclipse Foundation.",knowledge,ESCO
Skill,e-commerce systems,e-commerce system;e commerce structure;e commerce organisation;e-commerce arrangement;e-commercial system;e-commercial systems;e-commerce scheme,"Basic digital architecture and commercial transactions for trading products or services conducted via Internet, e-mail, mobile devices, social media, etc.",knowledge,ESCO
Skill,edit digital moving images,edit digital images of animation;edit digital images of movement;edit digital footage;edit moving digital images,Use specialised software to edit video images for use in an artistic production.,skill,ESCO
Skill,edit recorded sound,edit recorded sounds;edit audio recordings;edit sound footage;edit sound recording,"Edit audio footage using a variety of sofware, tools, and techniques such as crossfading, speed effects, and removing unwanted noises.",skill,ESCO
Skill,educate on data confidentiality,educating on data confidentiality;instruct on data confidentiality;educate about data confidentiality;educating about data confidentiality;teach data confidentiality principles,"Share information with and instruct users in the risks involved with data, especially risks to the confidentiality, integrity, or availability of data. Educate them on how to ensure data protection.",skill,ESCO
Skill,Electric Image Animation System,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,Element 3D,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,embedded systems,embedded systems software architectures,"The computer systems and components with a specialised and autonomous function within a larger system or machine such as embedded systems software architectures, embedded peripherals, design principles and development tools.",knowledge,ESCO
Skill,emergent technologies,,"The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics.",knowledge,ESCO
Skill,EMU,,Virtual Machine,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660091
Skill,encourage teams for continuous improvement,encourage a team for continuous improvement;encourage teams to continuously improve;drive teams for continuous improvement;support teams for continuous improvement;empower teams for continuous improvement;praise teams for continuous improvement,Empower teams to identify opportunities for continuous improvement and then drive the process to improve the results.,skill,ESCO
Skill,enforce financial policies,impose financial policies;enforcing financial policies;enforce finance policies;enforce financial policy;implement financial policies,"Read, understand, and enforce the abidance of the financial policies of the company in regards with all the fiscal and accounting proceedings of the organisation.",skill,ESCO
Skill,engage in citizenship through digital technologies,make use of e-services;use e-services;use online payment solutions;using e-services;able to use e-services;utilise e-services;apply e-services,Participate in society through the use of public and private digital services. Seek opportunities for self-empowerment and for participatory citizenship through appropriate digital technologies.,skill,ESCO
Skill,engineering control theory,,The interdisciplinary branch of engineering that deals with the behaviour of dynamical systems with inputs and how their behaviour is modified by feedback.,knowledge,ESCO
Skill,engineering processes,,The systematic approach to the development and maintenance of engineering systems.,knowledge,ESCO
Skill,enhance website visibility,website marketing,"Promote the website to users, business partners and search engines. Optimise the website exposure to search engines, send out emails, determine pricing and policies and conduct marketing actions.",skill,ESCO
Skill,ensure accuracy of aeronautical data,ensure accuracy of aeronautical information;undertake aeronautical data quality assurance activities;perform activities to assure the accuracy of published aeronautical information;ensure precision of aeronautical data;ensure veracity of aeronautical data;ensure precision of aeronautical information;conduct activities to ensure the accuracy of published aeronautical information;carry out aeronautical data quality assurance;ensure veracity of aeronautical information;perform aeronautical data quality assurance activities,"Ensure the accuracy of published aeronautical information, e.g. landing charts and radio navigational aids.",skill,ESCO
Skill,ensure adherence to organisational ICT standards,,"Guarantee that the state of events is in accordance with the ICT rules and procedures described by an organisation for their products, services and solutions.",skill,ESCO
Skill,ensure compliance with company regulations,,"Guarantee that employees' activities follow company regulations, as implemented through client and corporate guidelines, directives, policies and programmes.",skill,ESCO
Skill,ensure compliance with disclosure criteria of accounting information,ensuring compliance with disclosure criteria of accounting information;make sure disclosure criteria of accounting information is compliant;ensure compliance with accounting information disclosure criteria;ensure compliance with disclosure criteria of account information;guarantee compliance with disclosure criteria of accounting information;certify compliance with disclosure criteria of accounting information,"Revise the accounting information of the company to make sure it meets the commonly agreed criteria for its disclosure such as understandability, relevance, consistency, comparability, reliability, and objectivity.",skill,ESCO
Skill,ensure continuous preparedness for audits,ensure continuous preparation for audits;ensure continuous preparedness for an audit;secure continuous preparedness for audits;assure continuous preparedness for audits;maintain continuous preparedness for audits;establish continuous preparedness for audits,"Ensure constant compliance with standards and requirements, such as keeping certifications up to date and monitoring activities to ensure correct procedures are followed, so that audits can occur smoothly and no negative aspects can be identified.",skill,ESCO
Skill,ensure data protection in aviation operations,ensure protection of data in aviation operations;ensure aviation data protection;ensure data protection contained in Safety Data Collection and Processing;ensure sensitive data is used only for aviation safety purposes;ensure data protection in aviation;ensure the protection of data in aviation operations;ensure data protection contained in SDCP;ensure sensitive information is used only for aviation safety purposes;ensure the protection of sensitive data in aviation operations;protect sensitive information used in aviation operations;protect sensitive data used in aviation operations,Ensure that sensitive information is protected and used only for safety-related purposes in aviation.,skill,ESCO
Skill,ensure equipment availability,assure equipment availability;secure equipment availability;secure apparatus availability;provide equipment availability;assure apparatus availability;safeguard equipment availability;safeguard apparatus availability;provide apparatus availability,"Ensure that the necessary equipment is provided, ready and available for use before start of procedures.",skill,ESCO
Skill,ensure funding for artistic project,ensure artistic project is funded;provide funding for projects;coordinate funding process;ensure funds for artistic project,"List funding sources for your artistic production. Write grant applications, find public or private funding, finalise co-production agreements. Organise fundraisers if called for. Finalise agreements with sponsors.",skill,ESCO
Skill,ensure health and safety of dive teams,monitoring dive team;ensure dive team health and safety;monitor dive team;checking dive team;check dive team;ensuring health and safety of dive team;ensuring dive team health and safety,"Monitor the safety of the dive teams. Ensure that the operation is carried out from a safe, suitable location as per diving operation manual. When necessary, decide whether it is safe to proceed with the dive.",skill,ESCO
Skill,ensure health and safety of staff,ensure staff's health and safety;ensure staff's well-being;promote health and safety among the staff,"Promote and maintain a culture of health, safety and security among the staff by maintaining policies and procedures for the protection of vulnerable participants and when necessary, dealing with suspicions of possible abuse.",skill,ESCO
Skill,ensure information privacy,,"Design and implement business processes and technical solutions to guarantee data and information confidentiality in compliance with legal requirements, also considering public expectations and political issues of privacy.",skill,ESCO
Skill,ensure information transparency,assure information openness;provide information openness;assure information transparency;provide information transparency;establish information openness;establish information transparency;secure information transparency;secure information openness,"Ensure that required or requested information is provided clearly and completely, in a manner which does not explicitly withhold information, to the public or requesting parties.",skill,ESCO
Skill,ensure legal gaming,ensure legal games;ensure gaming is legal;ensure gaming rules are respected;guarantee gaming compliance,Monitor gaming operations to ensure that juridical regulations and house rules are respected at all times.,skill,ESCO
Skill,environmental management monitors,,The hardware and equipment suitable for measurement and live monitoring of environmental parameters.,knowledge,ESCO
Skill,e-procurement,e purchasing;e-procuring;e buying;e selling;e tendering,The functioning and methods used to manage electronic purchases.,knowledge,ESCO
Skill,Erlang,,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Erlang.",knowledge,ESCO
Skill,establish an ICT customer support process,,"Create a series of customer ICT service activities before, during and after a request. Ensure an adequate response or action, enhance the level of customer satisfaction and accumulate ICT product or service feedback.",skill,ESCO
Skill,establish an ICT security prevention plan,,"Define a set of measures and responsibilities to ensure the confidentiality, integrity and availability of information. Implement policies to prevent data breaches, detect and respond to unathorised access to systems and resources, including up-to-date security applications and employee education.",skill,ESCO
Skill,establish contact with potential donors,establish contact with probable donors;establish contact with possible donors;approach potential actors to obtain sponsorship;approach potential actors to obtain donations;approach contact with potential donor;establish contact with potential benefactor;build up contact with potential donors;approach contact with potential donors;contact potential donors,"Approach individuals, local authorities, commercial organisations and other actors in order to obtain sponsorship and donations for the projects of the charity.",skill,ESCO
Skill,establish data processes,implement data processes;develop data processes,"Use ICT tools to apply mathematical, algorithmic or other data manipulation processes in order to create information.",skill,ESCO
Skill,e-tailoring,online tailoring;online tailor services;remote tailoring,The business model using softwares and technical applications in order to gather the information of clients for the manufacturing of bespoke products.,knowledge,ESCO
Skill,evaluate art quality,"assess quality level of art objects, artefacts, photographs and documents;assess art quality;evaluate quality of art objects, artefacts, photographs and documents;evaluate quality of art;art quality evaluation;art quality assessment","Correctly evaluate the quality of art objects, artefacts, photographs and documents.",skill,ESCO
Skill,evaluate cost of software products,,"Apply methods and techniques to estimate and evaluate the cost of software products during their life-cycle phases, including development and acquisition costs, cost of maintenance, incorporated cost of quality - compliance and non-compliance associated costs.",skill,ESCO
Skill,"evaluate data, information and digital content",,"Analyse, compare and critically evaluate the credibility and reliability of sources of data, information and digital content. Analyse, interpret and critically evaluate the data, information and digital content.",skill,ESCO
Skill,evaluate forensic data,audit forensic data;determine scene of crime data;assess scene of crime data;determine forensic data;assess forensic data;check forensic data;audit scene of crime data;check scene of crime data,"Evaluate the data gathered during the forensic investigation of a crime scene or other scene where such investigation is necessary, in order to assess its usability for the ensuing investigation.",skill,ESCO
Skill,evaluate genetic data,apply statistical calculations to genetic data;analyze genetic data;analyse genetic data,Evaluate genetic data by applying statistical calculations and analysing the results.,skill,ESCO
Skill,evaluate information services using metrics,evaluate information service using metrics;assess information services using metrics;rate information services using metrics;evaluating information services using metrics;using metrics to evaluate information services;gauge information services using metrics,"Use bibliometrics, webometrics and web metrics to evaluate information services.",skill,ESCO
Skill,evaluate mine development projects,assessment of mine development projects;evaluating mine development projects;evaluation of mine development projects;development project evaluation in mining;mine development project assessment;mine development project evaluation;development project assessment in mining;assess mine development projects;assessing of mine development projects;evaluating of mine development projects,"Evaluate mining methods and procedures, including waste management, life-of-mine plans, production timelines and funds expenditures.",skill,ESCO
Skill,evaluate scientific data concerning medicines,evaluate scientific data concerning pharmaceutical drugs;assess scientific data concerning medicines;appraise scientific data concerning medicines;evaluate data concerning medicines;evaluate scientific data concerning medications,Evaluate scientific data concerning medicines in order to be able to provide appropriate information to patients on that basis.,skill,ESCO
Skill,Exa Corporation,,3D modeling/animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_3D_modeling_software; https://en.wikipedia.org/wiki/List_of_3D_animation_software
Skill,execute analytical mathematical calculations,,Apply mathematical methods and make use of calculation technologies in order to perform analyses and devise solutions to specific problems.,skill,ESCO
Skill,execute conversion testing,undertake  conversion testing;executing conversion testing;carry out  conversion testing;execute a conversion test;achieve  conversion testing;conversion testing execution;enact  conversion testing,"Plan, execute, and measure conversion tests and experiments.",skill,ESCO
Skill,execute feasibility study,,"Perform the evaluation and assessment of the potential of a project, plan, proposition or new idea. Realise a standardised study which is based on extensive investigation and research to support the process of decision making.",skill,ESCO
Skill,execute ICT audits,,"Organise and execute audits in order to evaluate ICT systems, compliance of components of systems, information processing systems and information security. Identify and collect potential critical issues and recommend solutions based on required standards and solutions.",skill,ESCO
Skill,execute ICT user research activities,,"Perform research tasks such as recruitment of participants, scheduling of tasks, collecting of empirical data, data analysis and production of materials in order to assess the interaction of users with an ICT system, program or application.",skill,ESCO
Skill,execute integration testing,test interface between software components,"Perform testing of system or software components grouped in multiple ways to evaluate their ability to interconnect, their interface and their ability to provide global functionality.",skill,ESCO
Skill,execute software tests,test application;test programs,"Perform tests to ensure that a software product will perform flawlessly under the specified customer requirements, using specialised software tools. Apply software testing techniques and tools in order to identify software defects (bugs) and malfunctions.",skill,ESCO
Skill,exert quality control to processing food,exert quality management to processing food;exert quality control to food processing;exert quality supervision to processing food;exerting quality control to processing food;exert quality oversight to processing food;exert quality control to systems food,Ensure the quality of all factors involved in a food production process.,skill,ESCO
Skill,Exr-IO,,OpenEXR image reader and writer for Adobe Photoshop,knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660092
Skill,familiarise yourself with the work to be remounted,familiarise yourself with the remounting of the work;become well-versed with the components of the work to be remounted;become conversant with the work to be remounted;familiarise yourself with the work for remounting,"Getting familiar with the  work to be remounted, by consulting different sources (documentation, experts, technical crew, etc). ",skill,ESCO
Skill,Fantavision,,2D animation,knowledge,Wikipedia - https://en.wikipedia.org/wiki/List_of_2D_animation_software
Skill,fasten components,connect components;fasten subassemblies;fix components;attach components,Fasten components together according to blueprints and technical plans in order to create subassemblies or finished products.,skill,ESCO
Skill,FFmpeg,,"Cross-platform solution to record, convert and stream audio and video",knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660093
Skill,Figma,,"Design, prototype, and collaborate all in the browser",knowledge,GoogleSheet 'Free Software for the Creative Industry' accessed Tue 14th Apr 2020.  https://docs.google.com/spreadsheets/d/19fL3JD0v-AfuTdAdY9r4mlxb2OyUZZvx8lW31VE9Q2A/edit#gid=2051660094
